complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
4,with zooming,0:00:00.397895,1,5,5,29
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
4,with zooming,0:00:00.432516,1,7,4,48
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
4,with zooming,0:00:00.670668,1,5,3,22
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
4,with zooming,0:00:01.055918,1,6,3,42
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
4,with zooming,0:00:05.267530,1,4,3,19
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
4,with zooming,0:00:01.245302,1,4,4,23
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
4,with zooming,0:00:02.047650,1,5,3,26
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
4,with zooming,0:00:13.462918,1,6,2,47
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
4,with zooming,0:00:19.393592,1,11,7,95
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
4,with zooming,0:00:04.860045,1,4,3,19
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
1,with zooming,0:00:00.449186,1,3,2,9
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
1,with zooming,0:00:00.451996,1,3,2,9
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
1,with zooming,0:00:00.442132,1,3,3,9
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
1,with zooming,0:00:00.445679,1,2,2,7
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
1,with zooming,0:00:00.452075,1,3,3,9
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
1,with zooming,0:00:00.448296,1,2,2,5
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
complexity level,zooming,planning time,# abstract plans,# refined plans,# abstract actions,# refined actions
